restaurant_id,RestaurantName,pet_friendly,Latitude,Longitude,City,rating,Cuisine
1,The Coconut Barfi Boutique Kitchen,TRUE,8.561099,76.985845,Trivandrum,3.2,Japanese
2,The Saffron Plate Grill,FALSE,9.924866,76.288397,Kochi,4.4,Indian
3,Bombay Bites Bistro,TRUE,13.07937,80.272899,Chennai,2.5,Indian
4,The Badam Burfi Bistro Kitchen,FALSE,22.580901,88.350813,Kolkata,4.6,Indian
5,Bombay Bites House,FALSE,17.362014,78.457698,Hyderabad,4.4,Japanese
6,Bombay Bites Kitchen,FALSE,13.300281,74.743443,Udupi,3.4,Chinese
7,The Paratha Place Bistro,FALSE,25.302896,83.009919,Varanasi,2.7,Indian
8,Spice Route Bistro Kitchen,FALSE,25.31366,82.932251,Varanasi,4.9,Japanese
9,Desi Tadka Cafe,FALSE,12.277214,76.648729,Mysore,4.6,Japanese
10,Biryani Bliss Cafe,FALSE,12.314587,76.615126,Mysore,2.9,Indian
11,The Lotus Leaf Lounge House,FALSE,13.348648,74.741473,Udupi,4.3,Chinese
12,The Mysore Pak Mansion Grill,FALSE,13.123103,80.309127,Chennai,4.7,Japanese
13,The Saffron Spot Bistro,FALSE,19.040033,72.907191,Mumbai,3.9,Japanese
14,The Cinnamon Circle Grill,FALSE,13.369006,74.715945,Udupi,4.9,Chinese
15,The Peda Palace Grill,TRUE,13.371417,74.732208,Udupi,3.5,Chinese
16,The Raita Retreat Kitchen,TRUE,13.039401,80.281891,Chennai,3.8,Indian
17,Biryani Bliss House,FALSE,11.243989,75.769617,Kozhikode,4.2,Indian
18,Tadka Town Grill,FALSE,17.358303,78.500148,Hyderabad,3.6,Chinese
19,The Lassi Lounge Bistro,TRUE,12.974654,77.61046,Bangalore,3.7,Indian
20,The Peda Palace Cafe,FALSE,13.012566,77.622533,Bangalore,4.6,Chinese
21,Taste of Home Grill,FALSE,11.245564,75.808814,Kozhikode,2.6,Japanese
22,Kolkata Kitchen Grill,FALSE,12.329796,76.595107,Mysore,4.9,Japanese
23,The Grand Trunk Road Kitchen Cafe,FALSE,12.88629,74.872766,Mangalore,3.6,Japanese
24,The Ginger Garden Grill,FALSE,22.575752,88.368669,Kolkata,4.6,Japanese
25,The Saffron Plate Kitchen,FALSE,12.878436,74.809872,Mangalore,2.7,Japanese
26,The Lotus Leaf Lounge Bistro,TRUE,19.029568,72.867582,Mumbai,4.4,Indian
27,Aroma of Biryani Grill,FALSE,8.534811,76.936228,Trivandrum,2.9,Japanese
28,The Malabar Coast Cafe Bistro,FALSE,8.517301,76.891607,Trivandrum,3,Japanese
29,The Halwa House Grill,FALSE,11.224717,75.795854,Kozhikode,4.2,Japanese
30,Chutney & Chai Cafe,FALSE,31.607267,74.915598,Amritsar,3.4,Japanese
31,The Kheer Kitchen Grill,FALSE,21.210657,72.784714,Surat,3.9,Indian
32,Desi Bites Grill,TRUE,22.559046,88.393196,Kolkata,4.8,Japanese
33,The Malabar Coast Cafe Kitchen,TRUE,22.568168,88.314225,Kolkata,4.3,Indian
34,Flavors of Delhi Grill,TRUE,18.479296,73.820173,Pune,4.9,Chinese
35,Ginger & Garlic Bistro,TRUE,25.365627,83.005692,Varanasi,3.9,Chinese
36,Masala Bay House,FALSE,12.927181,77.558489,Bangalore,3.2,Indian
37,The Deccan Plateau Grill Kitchen,FALSE,11.236193,75.736803,Kozhikode,2.8,Chinese
38,The Ashoka Restaurant House,FALSE,12.957683,74.875263,Mangalore,4.5,Japanese
39,Naan Stop House,TRUE,19.092695,72.922605,Mumbai,4.6,Chinese
40,Aroma of Biryani Grill,FALSE,19.092748,72.862294,Mumbai,4.1,Chinese
41,Tandoor Express Bistro,TRUE,17.3494,78.523255,Hyderabad,4.2,Indian
42,Rajasthan Royals House,FALSE,13.033023,80.246337,Chennai,3.7,Indian
43,Ginger & Garlic House,FALSE,22.540595,88.322602,Kolkata,4.3,Indian
44,Royal India House,FALSE,25.350908,82.944788,Varanasi,3.5,Japanese
45,The Lassi Lounge Cafe,FALSE,12.880241,74.851679,Mangalore,2.6,Japanese
46,The Nutmeg Nook Bistro,FALSE,8.519506,76.926803,Trivandrum,3,Japanese
